reviewId,content,score,sentiment,clean_text,tokens,original_length,clean_length,polarity_before,polarity_after
a22d3997-f03f-4177-b517-2e9182cb02d8,mantap,5,positif,mantap,['mantap'],1,1,0.0,0.0
4ce9e59e-640d-4fe8-b1a1-29680b6d9d88,"Gimana saya masukin kode nya kl mau masukin kode, aplikasi di mulai ulang. Saya uninstall aja",1,negatif,bagaimana masukin kode nya kalau mau masukin kode aplikasi mulai ulang uninstall saja,"['bagaimana', 'masukin', 'kode', 'nya', 'kalau', 'mau', 'masukin', 'kode', 'aplikasi', 'mulai', 'ulang', 'uninstall', 'saja']",16,13,0.0,0.0
835f8aae-03f6-4e2f-931f-c7b416fa1e57,"tiba"" kantong utama di blokir salah pin gapernah apa"" juga bner terus tapi di blokir",1,negatif,tiba kantong utama blokir salah pin gapernah apa juga bner terus tapi blokir,"['tiba', 'kantong', 'utama', 'blokir', 'salah', 'pin', 'gapernah', 'apa', 'juga', 'bner', 'terus', 'tapi', 'blokir']",15,13,0.0,0.0
7c571ea2-3e78-465a-951a-6006d4402ca8,Apk gajelas saldo gopay gua hilang Mulu gara gara aplikasi ini 2apk gajelas dan ribet sebaiknya jangan memakai aplikasi gopay dan jgo,1,negatif,aplikasi gajelas saldo gopay gua hilang mulu gara gara aplikasi aplikasi gajelas ribet baik jangan pakai aplikasi gopay jgo,"['aplikasi', 'gajelas', 'saldo', 'gopay', 'gua', 'hilang', 'mulu', 'gara', 'gara', 'aplikasi', 'aplikasi', 'gajelas', 'ribet', 'baik', 'jangan', 'pakai', 'aplikasi', 'gopay', 'jgo']",22,19,0.0,0.0
0c7277ed-381a-45e1-a1e6-49ab60f1440a,saya pengen bank jago bisa memindahkan akun jago syariah ke jago konvensional biar bisa ngerasain bunga dari akun jago konvensional,4,positif,ingin bank jago bisa pindah akun jago syariah jago konvensional biar bisa ngerasain bunga akun jago konvensional,"['ingin', 'bank', 'jago', 'bisa', 'pindah', 'akun', 'jago', 'syariah', 'jago', 'konvensional', 'biar', 'bisa', 'ngerasain', 'bunga', 'akun', 'jago', 'konvensional']",20,17,0.0,0.0
d82e98a0-57e3-47e2-a173-2f7049be54ee,Suka fitur rekening bersama dan bisa integrasi ke paypal,5,positif,suka fitur rekening sama bisa integrasi paypal,"['suka', 'fitur', 'rekening', 'sama', 'bisa', 'integrasi', 'paypal']",9,7,0.0,0.0
01ff0b6a-06c8-43e2-9b23-9908891f2f93,"Oke permasalahan sudah selesai, saya naikkan lagi dari ★☆☆☆☆ jadi ★★★★☆. Dan saya tidak jadi berhenti menggunakan Bank Jago.",4,positif,oke masalah sudah selesai naik lagi jadi tidak jadi henti guna bank jago,"['oke', 'masalah', 'sudah', 'selesai', 'naik', 'lagi', 'jadi', 'tidak', 'jadi', 'henti', 'guna', 'bank', 'jago']",19,13,0.0,0.0
2a0ec7c2-d5eb-49a4-9204-7cb6fbe731e4,"Bank Jago memang top, gratis biaya admin semuanya keren 👍 mudah di aplikasikan tidak ribet. Terima kasih bank Jago ☺️🙏",5,positif,bank jago memang top gratis biaya admin semua keren mudah aplikasi tidak ribet terima kasih bank jago,"['bank', 'jago', 'memang', 'top', 'gratis', 'biaya', 'admin', 'semua', 'keren', 'mudah', 'aplikasi', 'tidak', 'ribet', 'terima', 'kasih', 'bank', 'jago']",20,17,0.5,0.5
934cabe0-8f69-4488-9666-6f737b00d032,"Akun jago sy diblokir, sampai skrg ga bisa dibuka, bikin yg baru juga ga bisa.",1,negatif,akun jago blokir sampai sekarang tidak bisa buka bikin baru juga tidak bisa,"['akun', 'jago', 'blokir', 'sampai', 'sekarang', 'tidak', 'bisa', 'buka', 'bikin', 'baru', 'juga', 'tidak', 'bisa']",15,13,0.0,0.0
9216e4f9-685a-4761-b46b-4b6a7266f16c,keren,5,positif,keren,['keren'],1,1,0.0,0.0
99d52396-5340-4689-bf0a-ac57f14f0ca2,"biar pada kebaca, saya ada kendala di kode otp karena nomor hp saya sudah lama hilang, minta bantuan ke cs jago ribet banget persyaratannya, kaya mau terbang ke surga aja suruh ini suruh itu, suruh hapal, saran dari gua cukup verivikasi ktp dan video call aja udah cukup data pribadinya udah kelihatan jelas. ini mah malah di tanyain yang gak jelas mulu. hasilnya gak bisa.. cukup masukin no nik ktp dan verivikasi muka juga udah cukup buat verivikasi identitas nomor telepon yang lama hilang.. anj",5,positif,biar pada baca ada kendala kode otp karena nomor hp sudah lama hilang minta bantu cs jago ribet banget syarat kaya mau terbang surga saja suruh suruh suruh hapal saran gua cukup verivikasi ktp video call saja sudah cukup data pribadi sudah lihat jelas mah malah tanyain tidak jelas mulu hasil tidak bisa cukup masukin no nik ktp verivikasi muka juga sudah cukup buat verivikasi identitas nomor telepon lama hilang anj,"['biar', 'pada', 'baca', 'ada', 'kendala', 'kode', 'otp', 'karena', 'nomor', 'hp', 'sudah', 'lama', 'hilang', 'minta', 'bantu', 'cs', 'jago', 'ribet', 'banget', 'syarat', 'kaya', 'mau', 'terbang', 'surga', 'saja', 'suruh', 'suruh', 'suruh', 'hapal', 'saran', 'gua', 'cukup', 'verivikasi', 'ktp', 'video', 'call', 'saja', 'sudah', 'cukup', 'data', 'pribadi', 'sudah', 'lihat', 'jelas', 'mah', 'malah', 'tanyain', 'tidak', 'jelas', 'mulu', 'hasil', 'tidak', 'bisa', 'cukup', 'masukin', 'no', 'nik', 'ktp', 'verivikasi', 'muka', 'juga', 'sudah', 'cukup', 'buat', 'verivikasi', 'identitas', 'nomor', 'telepon', 'lama', 'hilang', 'anj']",85,71,0.0,0.0
02e70e3e-5bce-49ae-a32c-d799e6fee8d1,nganuin pinjaman lama bgt di acc nya,5,positif,nganuin pinjam lama banget acc nya,"['nganuin', 'pinjam', 'lama', 'banget', 'acc', 'nya']",7,6,0.0,0.0
1bc80d8c-c07d-4ae1-bc69-31e73fd7e180,"DC nya suka maki² pemaksaan. saya tau saya ada hutang . selagi gak kabur , pihak penagihan gak ada wewenang maki² saya.",1,negatif,dc nya suka maki paksa tau ada hutang selagi tidak kabur pihak tagih tidak ada wewenang maki,"['dc', 'nya', 'suka', 'maki', 'paksa', 'tau', 'ada', 'hutang', 'selagi', 'tidak', 'kabur', 'pihak', 'tagih', 'tidak', 'ada', 'wewenang', 'maki']",22,17,0.0,0.0
58b086bf-acb1-41b0-9e63-99fc59d66e5e,"habis update kok malah gak bisa diapa²in, tulisan tidak ada koneksi internet, mana cs nya ngang ngong ngang ngong di chat",1,negatif,habis update kok malah tidak bisa apa tulis tidak ada koneksi internet mana cs nya ngang ngong ngang ngong chat,"['habis', 'update', 'kok', 'malah', 'tidak', 'bisa', 'apa', 'tulis', 'tidak', 'ada', 'koneksi', 'internet', 'mana', 'cs', 'nya', 'ngang', 'ngong', 'ngang', 'ngong', 'chat']",21,20,0.0,0.0
0eb3d078-43ff-44cc-af69-cca9429e3722,semoga saya dapat limit,4,positif,moga dapat limit,"['moga', 'dapat', 'limit']",4,3,0.0,0.0
9bd4f3c5-7dfb-46dc-b4cf-d707f03e2cf0,Gampang digunakan,5,positif,gampang guna,"['gampang', 'guna']",2,2,0.0,0.0
7bff27f1-f435-4100-874c-438a8e7b62a7,Force close saat verifikasi wajah di HP Oppo Reno 13. Tolong dibantu,5,positif,force close saat verifikasi wajah hp oppo reno tolong bantu,"['force', 'close', 'saat', 'verifikasi', 'wajah', 'hp', 'oppo', 'reno', 'tolong', 'bantu']",12,10,0.0,0.0
