content,score,sentiment_polarity,sentiment_subjective,sentiment_rating
baguz,5,0.0,0.0,Positive
gokil,5,0.0,0.0,Positive
bosok,1,0.0,0.0,Negative
login tolong fix buka anj,1,0.0,0.0,Negative
jlas,1,0.0,0.0,Negative
sudh jugaa knpa fitur pinjam,1,0.0,0.0,Negative
mohon maaf gimana hapus nik pakai orang,4,0.0,0.0,Positive
nyebelin banget nyuruh update update level level,1,0.0,0.0,Negative
eror masuk,1,0.0,0.0,Negative
buka download minggu masuk akun baca maaf tunggu sebentar ganggu woyy minggu suruh tunggu,1,0.0,0.0,Negative
sangata bagus,5,0.0,0.0,Positive
mantap,5,0.0,0.0,Positive
lag banget transfer,1,0.0,0.0,Negative
pindah akun akun hp realme pro force close,3,0.0,0.0,Neutral
data bener dimasukin blokir blum layak launching sampah,1,0.0,0.0,Negative
harap hati hati nomer whatsapp google customer service tipu kuat aman,5,0.0,0.0,Positive
mantap biaya admin transfer,5,0.0,0.0,Positive
apas jir daftar coba masuk masukin password ganggu mulu tunggu tr coba trs uninstall instal email nik bilang salah org bener login pas gajelas banget jir,1,0.0,0.0,Negative
ganti password ribet banget koneksi putus gonta ganti data wafi kasi bintang kasi bintang,1,0.0,0.0,Negative
login tolong responya bantu login gan,2,0.0,0.0,Negative
bagus tingkat aman nyaman terima kasih,4,0.0,0.0,Positive
tolong masukin sandi tetep sandi akun kunci jam an,1,0.0,0.0,Negative
puas,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
login gimna nomor hilang daftar email data ubah email perifikasi,1,0.0,0.0,Negative
transfer cepet,5,0.0,0.0,Positive
salah dlm tulis nama asli susah nama panggil edit,4,0.0,0.0,Positive
parah banget akun log out masukin password salah coba ganti password stuck kode verifikasi doang halo 16 jam pakai uang parah banget,1,0.0,0.0,Negative
tarik,5,0.0,0.0,Positive
donlot liat review takut,1,0.0,0.0,Negative
mantap,5,0.0,0.0,Positive
masuk daftar gimana,1,0.0,0.0,Negative
knp suka eror suka akun bikin degan masukin akun kena suspend jam,1,0.0,0.0,Negative
bagus,5,0.0,0.0,Positive
gimana ganti hp aktf,5,0.0,0.0,Positive
lumayan tolong mata uang asing beli jual transfer biar fleksibel,3,0.0,0.0,Neutral
mantap,5,0.0,0.0,Positive
pindah syariah smg,4,0.0,0.0,Positive
maaf izin nomor telpon daftar hilang lupa ganti,5,0.0,0.0,Positive
pinjam acc,5,0.0,0.0,Positive
bagus mudah paham,5,0.0,0.0,Positive
user friendly useful fiturnya,5,0.3375,0.25,Positive
bagus lancar,5,0.0,0.0,Positive
sangan bantu,5,0.0,0.0,Positive
bagus,5,0.0,0.0,Positive
kerennnnnn,5,0.0,0.0,Positive
pinjam,5,0.0,0.0,Positive
scam lambat lempar lempar 24,1,0.0,0.0,Negative
bagus,5,0.0,0.0,Positive
inovatif,5,0.0,0.0,Positive
mending seabank superbank pinjam juta nie transaksi fitur pinjam nasabah pilih payah,1,0.0,0.0,Negative
mantap fiturnya keren kantong rekening tingkat bonus gratis kirim,5,0.0,0.0,Positive
anti kapitalis admin,5,0.0,0.0,Positive
cepat muncul fitur pinjam,5,0.0,0.0,Positive
mind hp hilang trus akun blokir gmna proses,1,0.0,0.0,Negative
manfaat mudah transaksi,5,0.0,0.0,Positive
saran sistem sedia opsi kirim kode verifikasi otp whatsapp alternatif antisipasi kendala hilang kartu sim terima otp opsi whatsapp terima kode verifikasi nomor hubung akun whatsapp opsi tingkat aman mudah akses,3,0.0,0.0,Neutral
bagus rugi transaksi akunn eror login pasword imel bnar,1,0.0,0.0,Negative
