userName,score,at,content
Pengguna Google,5,2026-03-30 17:20:34,aplinya baguz
Pengguna Google,5,2026-03-30 17:06:02,gokil
Pengguna Google,1,2026-03-30 17:03:43,bosok
Pengguna Google,1,2026-03-30 16:34:13,"nggak bisa login, tolong di fix lah, gw mau buka anj"
Pengguna Google,1,2026-03-30 16:33:21,apk gk jlas
Pengguna Google,1,2026-03-30 16:16:33,saya sudh mengnukan jago lama dan sug depositoo jugaa TPA knpa fitur pinjaman belum bisa di gunakan....
Pengguna Google,4,2026-03-30 16:14:47,mohon maaf gimana caranya saya ingin menajukan menghapus nik saya di pakai sama orang lain
Pengguna Google,5,2026-03-30 15:42:19,selaku pengguna baru tapi ini lebih baik dari pada yg lain
Pengguna Google,1,2026-03-30 15:13:01,nyebelin bgt nyuruh update tpi setelah update level balik ke level terbawah lagi!!!
Pengguna Google,1,2026-03-30 14:28:58,eror ni app ga bisa masuk
Pengguna Google,1,2026-03-30 13:35:59,"gak bisa dibuka sama sekali, download udh 2 minggu lebih.. setiap mau masuk akun selalu ada bacaan maaf tunggu sebentar lagi ada gangguan.. woyy udh 2 minggu disuruh tunggu terus"
Pengguna Google,5,2026-03-30 12:49:09,sangata bagus
Pengguna Google,5,2026-03-30 11:40:05,good
Pengguna Google,5,2026-03-30 09:24:02,mantap
Pengguna Google,1,2026-03-30 08:22:18,lag bgt apk nya buat transfer lama
Pengguna Google,3,2026-03-30 07:46:36,"entah kenapa saya mau pindah akun dari akun yg lama ke hp yg lain"" realme 7 pro "" sering force close"
Pengguna Google,4,2026-03-30 07:03:56,ok
Pengguna Google,1,2026-03-30 06:56:19,"data udah bener dimasukin.. kenapa harus di blokir.. apk blum layak launching nih,.. di matengin dlu baru..!! apk sampah"
Pengguna Google,5,2026-03-30 06:54:02,untuk semua pengguna bank jago harap berhati-hati nomer WhatsApp di google bukan customer service melainkan penipu. semoga pihak bank jago bisa lebih memperkuat keamanan di aplikasi bank jago.
Pengguna Google,5,2026-03-30 04:56:42,mantap... tanpa biaya admin transfer
Pengguna Google,1,2026-03-30 02:06:32,"apasi jir aplikasi ga jelas, pertama ufh daftar dan bisa mau coba buat masuk... masukin password malahg terjadi gangguan mulu udh tak tunggu 1 bulan tr s tak coba lagi masi sama... trs tak uninstall tak instal lagi masuklin email dan NIK masa dibilang salah org jrlas2 udh bener, mau login dgn e.ail dan pass yg sama pun gaisaa.. gajelas banget jir ini aplikasi"
Pengguna Google,1,2026-03-30 01:56:30,mau ganti password ribet banget koneksi terputus terus Gonta ganti data sama wafi sama saja kasi bintang 1 dulu kalau da bisa kasi bintang 5
Pengguna Google,2,2026-03-30 01:33:04,sy TDK BS login tolong responya n di bantu agar BS login gan yolonglah
Pengguna Google,4,2026-03-30 00:11:39,"sudah bagus, tapi tingkatkan terus ya keamanan dan kenyamanannya.. terima kasih.."
Pengguna Google,1,2026-03-29 23:53:54,"min tolong perbaiki masalah nya, masa saya sudah masukin sandi bank jago tetep gak bisa, padahal sandi nya benar, malahan akun saya ke kunci 1 jam an"
Pengguna Google,5,2026-03-29 21:32:09,puas
Pengguna Google,5,2026-03-29 19:43:11,bagus
Pengguna Google,5,2026-03-29 19:13:26,sangat bagus
Pengguna Google,1,2026-03-29 18:29:28,login nya gimna ini woooyyy harus perfikasi ke nomor yang sudah hilang terus😡😡😡😡😡😡😡daftar pake email baru ya tetap data diri ga bisa di ubah 😡😡😡😡😡😡lewat email aja sih perifikasi tuh😡😡😡
Pengguna Google,5,2026-03-29 17:19:53,transfer cepet
Pengguna Google,4,2026-03-29 13:59:36,kesalahan dlm penulisan nama asli susah ngeiditnya... yg bisa cuma nama panggilan yg bisa diedit
