reviewId,content,score,sentiment,clean_text
714331b4-43f2-449a-a61f-cf2a76bd6d75,great banks with lot of benefit. but the app can improve more. it is a bit laggy.,3,negative,great banks with lot of benefit but the app can improve more it is a bit laggy
81f209ab-f250-469a-bd6d-3902ce778d4c,"Enjoy this apps so much, love it!",5,positive,enjoy this apps so much love it
637cc414-884d-4981-be4e-52a4eb61b6bc,"halo admin bank jago, aplikasinya bagus banget udah berapa tahun pakai.... tapi kalau boleh, kedepannya tolong tambahkan fitur qris tap atau qris barcod, soalnya beberapa tempat harus menggunakan sistem pembayaran itu",5,positive,halo admin bank jago aplikasinya bagus banget udah berapa tahun pakai tapi kalau boleh kedepannya tolong tambahkan fitur qris tap atau qris barcod soalnya beberapa tempat harus menggunakan sistem pembayaran itu
f6244850-a883-47a8-8670-1c07b62118ad,nice app,5,positive,nice app
010ae6b9-964e-4367-a2a4-ae4ef48ba7f5,top dah 0 admin,5,positive,top dah admin
2b2fecd7-7750-4662-b7df-0a99ebd1d1bc,Mantep deh JAGO.. buat saya aplikasi ini sangat membantu..,5,positive,mantep deh jago buat saya aplikasi ini sangat membantu
c7d12c85-699a-4231-bb0d-dffc9ee4d6df,hard to login on new device because selfie verification too short,1,negative,hard to login on new device because selfie verification too short
4a68687b-0118-44c2-a071-894e024569bd,Thanks Bank Jago,5,positive,thanks bank jago
c13af628-7e9b-4078-a6b9-72a5cd0dfe7c,great!,5,positive,great
8b561694-d84b-47ee-b56c-0c405f9d8ab6,Enak pake jago bisa multiaccount buat manage keuangan 👍🏻,5,positive,enak pake jago bisa multiaccount buat manage keuangan
572a52ff-b0b4-49a1-9bf4-1616a011722c,"aplikasi yang bener bener sesuai namanya ""jago"" gercep juga nanganin kalau ada kendala🙌",5,positive,aplikasi yang bener bener sesuai namanya jago gercep juga nanganin kalau ada kendala
2951fc09-7192-4752-8846-4bbce00a6679,"Tidak bisa login, password dan Pin salah terus, padahal sudah benar",1,negative,tidak bisa login password dan pin salah terus padahal sudah benar
c30b68ef-c884-4d84-9b06-d6fc364b69c0,"sebagai masukkan, tolong tambahkan fitur payment show qr code agar fungsi qris menjadi lebih optimal",5,positive,sebagai masukkan tolong tambahkan fitur payment show qr code agar fungsi qris menjadi lebih optimal
a93f3317-5395-471a-b522-a008052c4ab6,so far all good,5,positive,so far all good
f6b6eb22-4cdd-409b-84f6-4b80e706d4a2,nice 👍,5,positive,nice
d663a367-5874-447f-9784-049141399137,keren full digital,5,positive,keren full digital
4d52db0c-2bfb-4f00-a2b2-cbc694c6bfec,"dari dulu pakai bank JAGO ga pernah mengecewakan, thanks bank JAGO. mana sering dikasih bonus uang lagi, tau banget jago kalau gw lagi butuh uang😭❤️",5,positive,dari dulu pakai bank jago ga pernah mengecewakan thanks bank jago mana sering dikasih bonus uang lagi tau banget jago kalau gw lagi butuh uang
ed0a1a60-a1be-4d34-8fb9-d6b67c53a3c2,"Tolong di cek masalahnya dimana pada aplikasi kalian, gua mau login masukin pin salah sampai 3 kali padahal pin yang sama dan gua ga lupa, biasanya juga sering di pakai, trus disuruh masukin password salah juga, pas gua ganti ""lupa password"" gua masukin password lama katanya password ga boleh sama sama yg lama, lah katanya salah password, berarti ada masalah server di sistem BANK JAGO, kalo optimalisasi kalian sudah mulai turun, gua akan mulai berfikir berpindah bank mulai sekarang. kecewa",1,negative,tolong di cek masalahnya dimana pada aplikasi kalian gua mau login masukin pin salah sampai kali padahal pin yang sama dan gua ga lupa biasanya juga sering di pakai trus disuruh masukin password salah juga pas gua ganti lupa password gua masukin password lama katanya password ga boleh sama sama yg lama lah katanya salah password berarti ada masalah server di sistem bank jago kalo optimalisasi kalian sudah mulai turun gua akan mulai berfikir berpindah bank mulai sekarang kecewa
ab5f1bd0-140b-4662-9c1b-069a0939641f,"Jago markets Pockets for isolation, but they aren't isolated. I linked a Sub Pocket for a specific card to test if it's doesn't have enough funds, yet Jago bypassed it to pull failed transaction fees from my Main Pocket without consent. To make it worse, they double-billed me for the same event 12:14 & 12:16. Support Ticket 1431211 keep sending me copy-pasted replies. If Pockets aren't hard-walled, the feature is useless. Maybe the Locked or Saving Pocket is safe from this. So, Don't trust them.",1,negative,jago markets pockets for isolation but they arent isolated i linked a sub pocket for a specific card to test if its doesnt have enough funds yet jago bypassed it to pull failed transaction fees from my main pocket without consent to make it worse they doublebilled me for the same event support ticket keep sending me copypasted replies if pockets arent hardwalled the feature is useless maybe the locked or saving pocket is safe from this so dont trust them
a8fb4e91-de41-44ae-bac4-72a59e781d0e,"Udah lama jadi Bank utama. Menurut saya, Bank Digital terlengkap dibandingkan yang lain. Free transfer ada, bisa buat kartu debit visa/gpn virtual maupun cetak, fitur pocket yang bisa sampe 60, dan fitur valas tanpa admin yang bisa mengaitkan beberapa valas ke satu kartu debit. Membantu banget sekarang kalo transaksi USD sama JPY ga perlu pake debit yang berbeda.",5,positive,udah lama jadi bank utama menurut saya bank digital terlengkap dibandingkan yang lain free transfer ada bisa buat kartu debit visagpn virtual maupun cetak fitur pocket yang bisa sampe dan fitur valas tanpa admin yang bisa mengaitkan beberapa valas ke satu kartu debit membantu banget sekarang kalo transaksi usd sama jpy ga perlu pake debit yang berbeda
330d2ead-80be-4b93-89a5-0cc93f609cec,"penggunaan sangat mudah, dan sangat membantu saya di momen pertama kali datang ke Jepang.",5,positive,penggunaan sangat mudah dan sangat membantu saya di momen pertama kali datang ke jepang
73b2c2cd-fd88-40da-98a6-04b87496f84a,amazing,5,positive,amazing
00997523-2ebd-4cb8-851a-a6cb1d741846,lost connection melulu 😃,3,negative,lost connection melulu
9516f06b-07b0-43c4-a9da-c04586f38d4e,Simple to use and its pretty easy to invest.,5,positive,simple to use and its pretty easy to invest
1b2dfdb1-4870-4974-a52f-23cc77ea1ca3,Sejauh ini cukup bagus.,5,positive,sejauh ini cukup bagus
ee56e1b8-58e7-4c14-a973-e3a26e85ea23,sangat mudah dan simpel digunakan,5,positive,sangat mudah dan simpel digunakan
a7e10404-7620-4f65-9ecf-e940a99dd86a,lambatttt,1,negative,lambatttt
cd1dbf59-9e49-4599-b53f-c906937b265c,best app!,5,positive,best app
590d057a-206a-435b-9ce6-d963a31372fc,I love how I can create foreign currency pockets and directly use it abroad in various countries 👍 keep up the good work!,5,positive,i love how i can create foreign currency pockets and directly use it abroad in various countries keep up the good work
dd45ee36-63cf-41c3-9194-2282fac38e7b,"Baru beberapa bulan pake Bank Jago. So far aman, ga ada trouble. Banyak kuota free transfer bank dan e wallet, jadi bisa lebih hemat biaya.",5,positive,baru beberapa bulan pake bank jago so far aman ga ada trouble banyak kuota free transfer bank dan e wallet jadi bisa lebih hemat biaya
c797d404-fc36-47f2-a09d-5540a0e42144,good app,5,positive,good app
c0e09ff7-95cb-4288-9344-542e8a666556,"ada bug . proses tidak bisa lanjut ketika buat digital card. di proses ""link this card to pocket"" bubble text box ""tap here to edit your pocket name"" menghalangi action lain. tombol lain tidak bisa di click. ketika back. bubble Masih ada. Dan semua button tetap tidak bisa di click. overlay??",3,negative,ada bug proses tidak bisa lanjut ketika buat digital card di proses link this card to pocket bubble text box tap here to edit your pocket name menghalangi action lain tombol lain tidak bisa di click ketika back bubble masih ada dan semua button tetap tidak bisa di click overlay
